prof_standard_code,prof_standard_sphere,prof_standard_type,prof_standard_name
16.019,Строительство и ЖКХ,"Техническое обслуживание и ремонт электротехнических устройств, оборудования и установок",Специалист по эксплуатации трансформаторных подстанций и распределительных пунктов и управлению режимами работы муниципальных электрических сетей
17.006,Транспорт,Управление моторвагонным подвижным составом и обслуживание моторвагонного подвижного состава,Работник по управлению и обслуживанию моторвагонного подвижного состава
17.007,Транспорт,Контроль состояния железнодорожного пути и искусственных сооружений железнодорожного транспорта,Работник по контролю за состоянием железнодорожного пути и искусственных сооружений железнодорожного транспорта
25.011,Ракетно-космическая промышленность ,Входной контроль покупных комплектующих изделий в ракетно-космической промышленности,"Специалист по входному контролю покупных комплектующих изделий 
в ракетно-космической промышленности"
06.005,"Связь, информационные и коммуникационные технологии ",Техническое обслуживание и ремонт радиоэлектронных средств различного функционального назначения,Специалист по техническому обслуживанию и ремонту радиоэлектронных средств
25.012,Ракетно-космическая промышленность ,"Баллистическое обеспечение испытаний космических средств (средств выведения, орбитальных средств)",Специалист по баллистическому обеспечению испытаний космических средств
11.002,"Средства массовой информации, издательство и полиграфия","Контроль качества материалов, полуфабрикатов полиграфического производства и печатной продукции","Контролер печатной продукции, полуфабрикатов и материалов"
11.003,"Средства массовой информации, издательство и полиграфия","Корреспондент (репортер) в мультимедийных, печатных, теле- и радиовещательных средствах массовой информации (СМИ)",Корреспондент средств массовой информации
06.006,"Связь, информационные и коммуникационные технологии ",Техническая эксплуатация станционного оборудования связи,Инженер по технической эксплуатации станционного оборудования связи
06.007,"Связь, информационные и коммуникационные технологии ",Проектирование систем связи (телекоммуникаций),Инженер-проектировщик в области связи (телекоммуникаций)
17.008,Транспорт,Обслуживание и ремонт железнодорожно-строительных машин и механизмов железнодорожного транспорта,Наладчик железнодорожно-строительных машин и механизмов
06.008,"Связь, информационные и коммуникационные технологии ",Организация подготовки к выпуску продукции сетевых изданий и информационных агентств,Специалист по производству продукции сетевых изданий и информационных агентств
13.001,Сельское хозяйство,Техническое сопровождение производственных процессов в сельском хозяйстве,Специалист в области механизации сельского хозяйства
24.020,Атомная промышленность,Контроль радиационной обстановки в организации атомной отрасли и в районе ее размещения,Специалист по радиационному контролю атомной отрасли
06.009,"Связь, информационные и коммуникационные технологии ","Организация продвижения и распространения продукции средств массовой информации (СМИ), включая печатные издания, телевизионные и радиопрограммы, сетевые издания",Специалист по продвижению и распространению продукции средств массовой информации
11.004,"Средства массовой информации, издательство и полиграфия",Ведение телепрограмм различной направленности,Ведущий телевизионной программы
06.010,"Связь, информационные и коммуникационные технологии ",Обеспечение качества предоставления услуг клиентам оператора связи,Специалист по технической поддержке клиентов оператора связи
17.009,Транспорт,"Управление специальным железнодорожным подвижным составом (самоходным), его обслуживание ",Работник по управлению и обслуживанию специального железнодорожного подвижного состава (самоходного)
17.010,Транспорт,Управление локомотивами (группы локомотивов) и обслуживание локомотивов,Работник по управлению и обслуживанию локомотива
13.002,Сельское хозяйство,Производство продукции птицеводства,Птицевод
13.003,Сельское хозяйство,Производство продукции животноводства,Животновод
13.004,Сельское хозяйство,Выполнение доильных работ и первичной обработки молока животных с использованием специализированного оборудования,Оператор машинного доения
11.005,"Средства массовой информации, издательство и полиграфия",Производство продукции телерадиовещательных средств массовой информации (СМИ),Специалист по производству продукции телерадиовещательных средств массовой информации
13.005,Сельское хозяйство,Мелиорация земель сельскохозяйственного назначения,Специалист по агромелиорации
11.006 ,"Средства массовой информации, издательство и полиграфия",Редактирование и подготовка материалов к публикации в средствах массовой информации (СМИ),Редактор средств массовой информации
13.006,Сельское хозяйство,"Эксплуатация тракторов, комбайнов и сельскохозяйственных машин в условиях сельскохозяйственного производства",Тракторист-машинист сельскохозяйственного производства
40.022,Сквозные виды профессиональной деятельности,Электрохимическая защита от коррозии линейных сооружений и объектов,Работник по электрохимической защите от коррозии линейных сооружений и объектов
40.023,Сквозные виды профессиональной деятельности,"Производство, эксплуатация, техническое обслуживание и ремонт гидравлических и пневматических систем и агрегатов",Монтажник гидравлических и пневматических систем
24.021,Атомная промышленность,"Эксплуатация судовой ядерной энергетической установки, обращение с ядерным топливом ",Специалист атомно-механической службы судов с ядерными энергетическими установками (кроме плавучих энергоблоков)
40.024,Сквозные виды профессиональной деятельности,Наладка шлифовальных станков – автоматов и полуавтоматов,Наладчик шлифовальных станков
40.025,Сквозные виды профессиональной деятельности,Наладка электрохимических станков,Наладчик электрохимических станков
24.022,Атомная промышленность,Эксплуатационное обслуживание турбинного оборудования объектов использования атомной энергии ,Машинист-обходчик турбинного оборудования
